"group","inScope","name","uri","category","rewardRange"
"In Scope (Website Console)","True","console.aiven.io","https://console.aiven.io/login","website","{""id"":""86b07e5e-68fa-42c5-bf2f-aa329d138999"",""p1MaxCents"":450000,""p1MinCents"":410000,""p2MaxCents"":175000,""p2MinCents"":150000,""p3MaxCents"":85000,""p3MinCents"":60000,""p4MaxCents"":25000,""p4MinCents"":20000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"In Scope (Website Console)","True","api.aiven.io","https://api.aiven.io/login","api","{""id"":""86b07e5e-68fa-42c5-bf2f-aa329d138999"",""p1MaxCents"":450000,""p1MinCents"":410000,""p2MaxCents"":175000,""p2MinCents"":150000,""p3MaxCents"":85000,""p3MinCents"":60000,""p4MaxCents"":25000,""p4MinCents"":20000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Aiven Open Source Repositories","True","github.com/Aiven-Open","https://github.com/Aiven-Open","other","{""id"":""991f9d0e-799f-443d-902e-fe02a0358c26"",""p1MaxCents"":150000,""p1MinCents"":100000,""p2MaxCents"":100000,""p2MinCents"":50000,""p3MaxCents"":50000,""p3MinCents"":25000,""p4MaxCents"":25000,""p4MinCents"":5000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Aiven Open Source Repositories","True","github.com/Aiven","https://github.com/Aiven","other","{""id"":""991f9d0e-799f-443d-902e-fe02a0358c26"",""p1MaxCents"":150000,""p1MinCents"":100000,""p2MaxCents"":100000,""p2MinCents"":50000,""p3MaxCents"":50000,""p3MinCents"":25000,""p4MaxCents"":25000,""p4MinCents"":5000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Capture the Flag Challenge","True","falcon-bug-bounty-flag-pgsql-dev-sandbox.aivencloud.com","http://falcon-bug-bounty-flag-pgsql-dev-sandbox.aivencloud.com/","other","{""id"":""4dda580c-3145-411a-86fc-e2e96384c013"",""p1MaxCents"":2500000,""p1MinCents"":2500000,""p2MaxCents"":null,""p2MinCents"":null,""p3MaxCents"":null,""p3MinCents"":null,""p4MaxCents"":null,""p4MinCents"":null,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Out of Scope ","False","aquarium.aiven.io	","","website",""
"Out of Scope ","False","uptime.aiven.io	","","website",""
"Out of Scope ","False","video.aiven.io	","","website",""
"Out of Scope ","False","aiven.io/community","","website",""
"Out of Scope ","False","aiven.io/contact","","website",""
"Out of Scope ","False","Customer services you did not create","","other",""
"Out of Scope ","False","*.aiven.fi","","other",""
"Out of Scope ","False","github.com/Aiven-Labs","","other",""
"Out of Scope ","False","*.avns.net","","other",""
"Out of Scope ","False","events.aiven.io","","website",""
"Out of Scope ","False","ideas.aiven.io","","other",""
"Out of Scope ","False","aivenhelp.zendesk.com","","website",""
"Out of Scope ","False","support.aiven.io","","website",""
"Out of Scope ","False","Creation of support tickets","","website",""
