"group","inScope","name","uri","category","rewardRange"
"SDK Targets","True","Auth0 Java SDK (auth0-java)","https://github.com/auth0/auth0-java","other","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"SDK Targets","True","Auth0 React Native SDK (react-native-auth0)","https://github.com/auth0/react-native-auth0","other","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"SDK Targets","True","Auth0 PHP SDK (auth0-php)","https://github.com/auth0/auth0-php","other","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 2 Targets","True","auth0.com	","","website","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 2 Targets","True","samltool.io	","","website","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 2 Targets","True","webauthn.me	","","website","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 2 Targets","True","openidconnect.net	","","website","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 2 Targets","True","jwt.io","","website","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 2 Targets","True","auth0.net","","website","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Out of scope targets","False","auth0.auth0.com","","website",""
"Out of scope targets","False","manage.auth0.com","","website",""
"Out of scope targets","False","accounts.auth0.com","","website",""
"Out of scope targets","False","webtask.io	","","website",""
"Out of scope targets","False","phenix.rocks	","","website",""
"Out of scope targets","False","Auth0 Docs (including quickstarts)","","website",""
"Out of scope targets","False","sharelock.io","","website",""
"Out of scope targets","False","goextend.io	","","website",""
"Out of scope targets","False","https://support.auth0.com/tickets/new","","website",""
"Out of scope targets","False","support.auth0.com","","website",""
"Out of scope targets","False","community.auth0.com","","website",""
"Out of scope targets","False","Auth0 passport-ws-fed","https://github.com/auth0/passport-wsfed-saml2","other",""
